# Statistiques résumées des distributions par grandeur et par pas
step,name,n,mean,std,min,q10,q25,median,q75,q90,q99,max
0,passif_total,11,8.5224,0.0,8.5224,8.5224,8.5224,8.5224,8.5224,8.5224,8.5224,8.5224
0,actif_liquide,11,8.4689,0.0,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689
0,actif_total,11,11.9913,0.0,11.9913,11.9913,11.9913,11.9913,11.9913,11.9913,11.9913,11.9913
0,ratio_L_P,11,0.9937,0.0,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937
0,taux_interne,11,0.1713,0.0,0.1713,0.1713,0.1713,0.1713,0.1713,0.1713,0.1713,0.1713
0,levier_entite,11,0.7107,0.0,0.7107,0.7107,0.7107,0.7107,0.7107,0.7107,0.7107,0.7107
10,passif_total,13,39.9077,4.7852,27.0659,32.8115,41.9275,41.9275,41.9275,41.9275,41.9275,41.9275
10,actif_liquide,13,12.9686,1.0336,10.1873,11.4437,13.4047,13.4047,13.4047,13.4047,13.4047,13.4047
10,actif_total,13,47.8764,5.8188,32.2532,39.2552,50.3321,50.3321,50.3321,50.3321,50.3321,50.3321
10,ratio_L_P,13,0.3271,0.0176,0.3197,0.3197,0.3197,0.3197,0.3197,0.3509,0.3743,0.3764
10,taux_interne,13,0.0797,0.0059,0.0772,0.0772,0.0772,0.0772,0.0772,0.0878,0.0954,0.0961
10,levier_entite,13,0.8338,0.0019,0.833,0.833,0.833,0.833,0.833,0.8361,0.8389,0.8392
20,passif_total,17,72.3992,26.7688,14.6048,25.7435,68.9051,89.5096,89.5096,89.5096,89.5096,89.5096
20,actif_liquide,17,18.8656,5.0532,7.9578,9.8998,18.5618,22.0487,22.0487,22.0487,22.0487,22.0487
20,actif_total,17,86.2647,31.8204,17.5626,30.6433,82.4669,106.5583,106.5583,106.5583,106.5583,106.5583
20,ratio_L_P,17,0.2878,0.0797,0.2463,0.2463,0.2463,0.2463,0.2694,0.3852,0.5215,0.5449
20,taux_interne,17,0.0653,0.0226,0.0528,0.0528,0.0528,0.0528,0.0602,0.0987,0.1263,0.1308
20,levier_entite,17,0.8387,0.0026,0.8316,0.8348,0.8392,0.84,0.84,0.84,0.8414,0.8417
30,passif_total,23,102.1891,39.4026,45.5861,50.0577,61.3946,126.7716,130.7146,147.5041,147.5041,147.5041
30,actif_liquide,23,22.6256,7.2795,11.0582,12.6123,15.0502,24.1707,30.2942,30.6782,30.6782,30.6782
30,actif_total,23,127.5847,52.926,51.6443,57.9946,71.1344,152.4537,174.8167,180.8121,183.4075,183.4075
30,ratio_L_P,23,0.23,0.0293,0.1611,0.208,0.208,0.2318,0.2464,0.2658,0.2948,0.3001
30,taux_interne,23,0.053,0.0121,0.0412,0.0412,0.0437,0.0444,0.0638,0.0707,0.0737,0.0741
30,levier_entite,23,0.8174,0.0629,0.707,0.7127,0.7801,0.8484,0.8573,0.8701,0.8811,0.8827
40,passif_total,26,147.3989,48.0107,80.8206,89.433,97.312,163.04,193.6089,198.4194,203.7645,204.6348
40,actif_liquide,26,25.2166,10.7545,9.23,9.921,18.2195,22.7716,35.5683,39.7829,40.6882,40.7977
40,actif_total,26,183.8758,70.0862,93.9102,99.4056,110.4738,191.03,252.7272,264.5039,267.8311,267.8311
40,ratio_L_P,26,0.1777,0.0574,0.05,0.0729,0.1828,0.2012,0.2148,0.2228,0.2338,0.2368
40,taux_interne,26,0.0431,0.0076,0.035,0.0355,0.0359,0.0394,0.0507,0.0529,0.0554,0.0556
40,levier_entite,26,0.8224,0.0635,0.7141,0.7374,0.759,0.8466,0.8605,0.8741,0.9523,0.958
50,passif_total,33,172.228,63.6675,61.3314,81.7471,121.2222,159.8853,238.7038,249.7695,251.9948,252.6797
50,actif_liquide,33,29.2065,12.8071,9.2731,11.9759,18.2815,26.9885,42.7069,46.093,48.8714,48.9855
50,actif_total,33,223.5785,104.1238,65.6045,92.3939,137.5184,187.2537,334.3921,361.6702,370.5051,370.964
50,ratio_L_P,33,0.1742,0.0448,0.05,0.1049,0.1757,0.1891,0.1949,0.2018,0.2222,0.2225
50,taux_interne,33,0.0406,0.009,0.0315,0.0316,0.0324,0.0395,0.0454,0.0557,0.0622,0.0638
50,levier_entite,33,0.8097,0.0917,0.6427,0.6689,0.7188,0.8627,0.8667,0.8832,0.9489,0.9556
60,passif_total,37,213.2637,75.1427,94.399,118.6614,138.5576,198.2628,298.2408,305.4288,313.0633,314.3089
60,actif_liquide,37,34.7013,14.2023,10.159,18.2434,23.3733,32.1844,45.9563,55.8324,58.8339,59.1
60,actif_total,37,279.2206,132.1254,109.1205,135.5459,157.4173,228.0076,432.1084,464.9207,489.4848,490.5824
60,ratio_L_P,37,0.1655,0.0369,0.05,0.1144,0.168,0.1752,0.1814,0.1941,0.2063,0.2089
60,taux_interne,37,0.0361,0.0069,0.0282,0.0286,0.029,0.0355,0.0425,0.0459,0.0498,0.0515
60,levier_entite,37,0.8086,0.1011,0.6245,0.641,0.6874,0.8652,0.879,0.8834,0.9452,0.9586
