# Données détaillées de chaque cascade de faillites
step,nb_entites_faillie,volume_actifs_detruits,volume_creances_annulees,volume_passif_efface,actif_systeme_avant,passif_systeme_avant,liquidite_systeme_avant,nb_entites_avant,ratio_destruction,ratio_contagion,nb_contamines,nb_deja_fragiles,passif_median_failli
394,2,741.0391,3465.7094,744.8096,630387.0509,428219.6964,48694.3567,517,0.001176,0.0,0,2,376.5986
396,1,296.8624,1515.1223,299.3498,630941.1105,429000.7182,48343.7554,515,0.000471,0.0,0,1,299.3498
398,2,635.5279,3101.6757,637.9325,633395.0623,429886.7235,48295.9902,514,0.001003,0.0,0,2,343.7437
399,1,320.3358,1598.1998,322.8123,630837.6494,429169.073,48930.9354,513,0.000508,0.0,0,1,322.8123
400,1,384.8922,1784.5263,387.2868,631257.9313,429774.0685,48553.1216,513,0.00061,0.0,0,1,387.2868
401,1,339.755,1601.3605,340.6246,630299.5587,429402.1766,49073.0121,512,0.000539,0.0,0,1,340.6246
402,2,739.7624,3418.1111,744.0182,629589.6794,429258.6189,49387.4068,511,0.001175,0.0,0,2,390.3049
403,1,348.8853,1655.1602,348.9196,627443.7083,429372.8946,49009.7847,509,0.000556,0.0,0,1,348.9196
404,1,435.3243,1936.9136,436.3636,628685.8363,430602.0556,47900.9452,508,0.000692,0.0,0,1,436.3636
405,1,366.4323,1716.9726,367.024,628075.712,430347.6361,48188.825,507,0.000583,0.0,0,1,367.024
406,1,331.3194,1642.0271,333.5324,628217.6415,430574.7561,48066.784,507,0.000527,0.0,0,1,333.5324
407,1,323.2459,1602.283,324.0176,627178.866,429894.935,48872.956,506,0.000515,0.0,0,1,324.0176
409,1,415.5925,1883.3678,417.3623,627478.9826,429812.0103,49529.8441,507,0.000662,0.0,0,1,417.3623
410,1,358.4909,1753.927,360.7142,626345.8304,429703.9457,49641.4464,506,0.000572,0.0,0,1,360.7142
411,2,697.5557,3461.3311,702.815,626821.3835,430674.1795,48723.2388,505,0.001113,0.0,0,2,357.1264
412,1,476.1173,2055.7808,476.179,624944.0903,430795.2159,48295.6945,503,0.000762,0.0,0,1,476.179
413,1,362.584,1742.9049,362.6053,623109.63,429909.2571,49094.1278,502,0.000582,0.0,0,1,362.6053
415,1,427.4843,1920.888,428.1611,623960.1413,430329.6035,49044.4452,501,0.000685,0.0,0,1,428.1611
417,1,380.5644,1828.2554,383.6393,623507.131,430043.7807,49591.8089,500,0.00061,0.0,0,1,383.6393
418,2,919.2085,4162.8879,926.1637,622330.4281,429933.6458,49657.1803,500,0.001477,0.0,0,2,497.718
421,2,866.1611,3922.9461,869.331,624301.722,432639.6576,47026.7769,501,0.001387,0.0,0,2,444.9224
422,1,450.2146,2045.6542,453.3866,620150.8084,430914.0896,48223.5523,499,0.000726,0.0,0,1,453.3866
423,1,469.3799,2083.9096,469.9324,620607.3847,431603.4099,47406.5125,498,0.000756,0.0,0,1,469.9324
424,1,357.4886,1789.3681,360.7016,620842.0918,431892.5904,46973.1401,497,0.000576,0.0,0,1,360.7016
425,2,756.1699,3655.1937,761.0876,619515.6401,430801.8076,48033.364,496,0.001221,0.0,0,2,401.3826
426,2,878.4234,3917.1121,880.7078,615890.7154,429663.6285,48728.2976,495,0.001426,0.0,0,2,506.6077
427,1,349.3203,1758.8247,350.6585,611994.4951,428732.6169,49081.2125,494,0.000571,0.0,0,1,350.6585
428,1,334.6913,1659.45,335.2628,610781.0109,428446.5302,49302.5567,493,0.000548,0.0,0,1,335.2628
429,1,381.481,1836.2084,383.6162,609743.986,428302.8512,49396.6672,493,0.000626,0.0,0,1,383.6162
432,2,831.1386,3932.7098,834.5717,611386.4792,428889.1823,49232.4545,492,0.001359,0.0,0,2,423.8702
436,1,488.652,2181.7008,489.3135,613701.0131,430437.6524,47932.2425,493,0.000796,0.0,0,1,489.3135
438,2,822.4711,3854.3363,825.0262,614304.6563,430182.38,48248.8118,492,0.001339,0.0,0,2,426.9783
439,1,439.4076,2000.9546,441.5967,611417.5634,429758.2084,48132.6879,492,0.000719,0.0,0,1,441.5967
442,1,450.9536,2056.6978,452.2282,613101.2573,429847.0644,48503.6054,494,0.000736,0.0,0,1,452.2282
445,1,391.6257,1920.2466,394.6412,614732.1167,430314.6056,48482.7023,494,0.000637,0.0,0,1,394.6412
447,2,872.1943,4157.4577,876.0789,615405.3593,430198.2303,48780.9001,493,0.001417,0.0,0,2,446.0613
448,2,798.963,3930.0914,802.6862,612417.2923,430059.3245,48303.5321,491,0.001305,0.0,0,2,420.4257
449,1,385.7979,1886.3587,386.9845,608565.8542,429057.8462,48748.889,489,0.000634,0.0,0,1,386.9845
450,1,427.0179,2044.8235,428.0861,607052.971,428549.4815,49104.0933,488,0.000703,0.0,0,1,428.0861
456,1,516.58,2358.8283,519.1294,615128.8142,430356.4494,48521.3577,492,0.00084,0.0,0,1,519.1294
460,1,469.5108,2247.1527,472.1027,618518.5443,430727.0109,48845.8886,493,0.000759,0.0,0,1,472.1027
468,1,460.9453,2189.3821,464.7488,627055.9773,431980.8556,49558.8414,495,0.000735,0.0,0,1,464.7488
472,2,902.5045,4418.7632,907.6143,632373.0562,433759.8718,48441.4343,494,0.001427,0.0,0,2,503.6447
