step,n_entities_alive,n_entities_total,n_spawned,extraction_total,interest_paid_total,credit_transactions,auto_invest_total,n_failures,destroyed_assets,redirected_claims,volume_prets_actifs,n_prets_actifs,actif_total_systeme,passif_total_systeme,liquidite_totale,mean_passif,mean_internal_rate
0,301,301,1,673.0565,0.0,0,1060.2436,0,0.0,0.0,0,0,3609.3953,2565.2436,2549.1517,8.5224,0.171273
1,301,301,0,878.714,0.0,0,969.791,0,0.0,0.0,0,0,4387.7447,3503.2273,2389.5174,11.6386,0.146561
2,301,301,0,1026.8746,0.0,0,952.7701,0,0.0,0.0,0,0,5286.3447,4396.0505,2395.2941,14.6048,0.130834
3,302,302,1,1152.5452,0.0,0,981.29,0,0.0,0.0,0,0,6291.0016,5295.609,2505.3926,17.5351,0.119473
4,303,303,1,1266.6676,0.0,0,1034.1201,0,0.0,0.0,0,0,7378.4597,6221.1608,2672.2989,20.5319,0.110481
5,303,303,0,1372.5303,0.0,0,1097.9801,0,0.0,0.0,0,0,8528.9086,7177.9561,2865.9525,23.6896,0.102815
6,303,303,0,1474.4297,0.0,0,1170.9513,0,0.0,0.0,0,0,9746.6419,8179.0188,3082.6232,26.9935,0.096299
7,303,303,0,1573.9634,0.0,0,1249.35,0,0.0,0.0,0,0,11027.553,9228.4482,3314.1048,30.4569,0.090648
8,303,303,0,1671.9421,0.0,0,1330.9421,0,0.0,0.0,0,0,12368.3708,10327.9869,3555.3839,34.0858,0.08568
9,303,303,0,1768.78,0.0,0,1414.3502,0,0.0,0.0,0,0,13766.2779,11477.9475,3803.3304,37.881,0.081269
10,303,303,0,1864.683,0.0,0,1498.71,0,0.0,0.0,0,0,15218.7122,12677.7691,4055.9431,41.8408,0.077325
11,304,304,1,1961.9822,0.0,0,1586.9917,0,0.0,0.0,0,0,16735.2528,13934.8778,4320.375,45.8384,0.074095
12,304,304,0,2056.9253,0.0,0,1671.4898,0,0.0,0.0,0,0,18292.1858,15233.9213,4578.2645,50.1116,0.070812
13,304,304,0,2150.8797,0.0,0,1756.0309,0,0.0,0.0,0,0,19897.065,16578.5345,4838.5305,54.5347,0.06785
14,305,305,1,2246.1807,0.0,0,1843.8684,0,0.0,0.0,0,0,21559.5954,17975.6469,5108.9486,58.9365,0.065503
15,306,306,1,2341.3004,0.0,0,1931.0063,0,0.0,0.0,0,0,23268.1715,19418.1338,5380.0377,63.458,0.063321
16,306,306,0,2433.8119,0.0,0,2014.0494,0,0.0,0.0,0,0,25009.0623,20895.5392,5643.5232,68.2861,0.060943
17,306,306,0,2525.1764,0.0,0,2096.8791,0,0.0,0.0,0,0,26789.8986,22411.4521,5908.4465,73.24,0.058785
18,307,307,1,2617.7679,0.0,0,2182.7969,0,0.0,0.0,0,0,28620.4987,23972.8054,6182.6932,78.0873,0.057178
19,307,307,0,2707.8449,0.0,0,2264.3231,0,0.0,0.0,0,0,30477.3987,25563.9944,6448.4042,83.2703,0.055277
20,307,307,0,2796.7856,0.0,0,2345.4389,0,0.0,0.0,0,0,32368.4106,27188.5635,6714.8471,88.5621,0.053539
21,308,308,1,2886.9384,0.0,0,2429.5056,0,0.0,0.0,0,0,34303.5064,28853.4622,6990.0442,93.6801,0.052322
22,309,309,1,2976.7905,0.0,2,2495.3424,0,0.0,0.0,54.7972,2,36326.1535,30589.1979,7227.1584,98.9942,0.050664
23,309,309,0,3068.936,2.8529,0,2581.2837,0,0.0,0.0,54.7972,2,38317.8416,32299.1556,7508.8888,104.528,0.049275
24,310,310,1,3156.0761,2.8529,1,2658.5477,0,0.0,0.0,83.9051,3,40376.9017,34069.1866,7773.81,109.9006,0.048089
25,310,310,0,3243.7176,4.2866,0,2742.7489,0,0.0,0.0,83.9051,3,42424.6931,35836.36,8054.4281,115.6012,0.046864
26,311,311,1,3329.3098,4.2866,1,2817.8713,0,0.0,0.0,114.6865,4,44538.3188,37661.4218,8317.2105,121.0978,0.045828
27,312,312,1,3417.7412,5.727,1,2894.3119,0,0.0,0.0,146.291,5,46679.5728,39509.1456,8584.1362,126.6319,0.044856
28,313,313,1,3505.3621,7.1704,1,2971.4056,0,0.0,0.0,178.7095,6,48846.8891,41379.4954,8853.6843,132.2029,0.043943
